Date,^BSESN
2015-06-16,27804.369140625
2015-06-23,27780.830078125
2015-06-30,28171.689453125
2015-07-07,27932.900390625
2015-07-14,28182.140625
2015-07-21,27459.23046875
2015-07-28,28071.9296875
2015-08-04,27866.08984375
2015-08-11,27831.5390625
2015-08-18,26032.380859375
2015-08-25,25696.439453125
2015-09-01,25317.869140625
2015-09-08,25705.9296875
2015-09-15,25651.83984375
2015-09-22,25778.66015625
2015-09-29,26932.880859375
2015-10-06,26846.529296875
2015-10-13,27306.830078125
2015-10-20,27253.439453125
2015-10-27,26590.58984375
2015-11-03,25743.259765625
2015-11-10,25864.470703125
2015-11-17,25775.740234375
2015-11-24,26169.41015625
2015-12-01,25310.330078125
2015-12-08,25320.439453125
2015-12-15,25590.650390625
2015-12-22,26079.48046875
2015-12-29,25580.33984375
2016-01-05,24682.029296875
2016-01-12,24479.83984375
2016-01-19,24485.94921875
2016-01-26,24539.0
2016-02-02,24020.98046875
2016-02-09,23191.970703125
2016-02-16,23410.1796875
2016-02-23,23779.349609375
2016-03-01,24659.23046875
2016-03-08,24551.169921875
2016-03-15,25330.490234375
2016-03-22,24900.4609375
2016-03-29,24883.58984375
2016-04-05,25145.58984375
2016-04-12,25816.359375
2016-04-19,26007.30078125
2016-04-26,25229.69921875
2016-05-03,25772.529296875
2016-05-10,25773.609375
2016-05-17,25305.470703125
2016-05-24,26667.9609375
2016-05-31,27009.669921875
2016-06-07,26395.7109375
2016-06-14,26812.779296875
2016-06-21,26524.55078125
2016-06-28,27166.869140625
2016-07-05,27808.140625
2016-07-12,27787.619140625
2016-07-19,27976.51953125
2016-07-26,27981.7109375
2016-08-02,28085.16015625
2016-08-09,28064.609375
2016-08-16,27990.2109375
2016-08-23,28343.009765625
2016-08-30,28978.01953125
2016-09-06,28353.5390625
2016-09-13,28523.19921875
2016-09-20,28223.69921875
2016-09-27,28334.55078125
2016-10-04,28082.33984375
2016-10-11,28050.880859375
2016-10-18,28091.419921875
2016-10-25,27876.609375
2016-11-01,27591.140625
2016-11-08,26304.630859375
2016-11-15,25960.779296875
2016-11-22,26394.009765625
2016-11-29,26392.759765625
2016-12-06,26697.8203125
2016-12-13,26307.98046875
2016-12-20,26213.439453125
2016-12-27,26643.240234375
2017-01-03,26899.560546875
2017-01-10,27235.66015625
2017-01-17,27375.580078125
2017-01-24,27655.9609375
2017-01-31,28335.16015625
2017-02-07,28339.310546875
2017-02-14,28761.58984375
2017-02-21,28743.3203125
2017-02-28,28999.560546875
2017-03-07,29442.630859375
2017-03-14,29485.44921875
2017-03-21,29409.51953125
2017-03-28,29910.220703125
2017-04-04,29788.349609375
2017-04-11,29319.099609375
2017-04-18,29943.240234375
2017-04-25,29921.1796875
2017-05-02,29933.25
2017-05-09,30582.599609375
2017-05-16,30365.25
2017-05-23,31159.400390625
2017-05-30,31190.560546875
2017-06-06,31103.490234375
2017-06-13,31297.529296875
2017-06-20,30958.25
2017-06-27,31209.7890625
2017-07-04,31747.08984375
2017-07-11,31710.990234375
2017-07-18,32228.26953125
2017-07-25,32575.169921875
2017-08-01,32014.189453125
2017-08-08,31449.029296875
2017-08-15,31291.849609375
2017-08-22,31388.390625
2017-08-29,31809.55078125
2017-09-05,32158.66015625
2017-09-12,32402.369140625
2017-09-19,31599.759765625
2017-09-26,31497.380859375
2017-10-03,31924.41015625
2017-10-10,32609.16015625
2017-10-17,32607.33984375
2017-10-24,33213.12890625
2017-10-31,33370.76171875
