Date,SBIN.BO,TITAN.BO,RELIANCE.BO,ICICIBANK.BO,AXISBANK.BO,LT.BO,ULTRACEMCO.BO,ITC.BO,ONGC.BO,INFY.BO
02-08-2017,307.6499939,543.8703613,802.1763306,295.4910583,515.7595825,1086.662109,4055.440186,255.0520477,138.5321655,449.3422852
03-08-2017,300.75,548.444397,813.2307739,289.6126099,505.3724365,1084.630005,4050.383057,251.6978607,138.8250427,445.3353577
04-08-2017,305.4500122,600.4805298,798.9264526,290.1514282,507.819397,1086.800537,4046.218262,251.1164856,139.3689423,446.1276855
07-08-2017,311.1000061,603.6282959,796.0212402,293.8744812,505.3724365,1088.832764,4025.49292,250.4456329,138.9923859,438.3402405
08-08-2017,303.8500061,599.4968262,789.5215454,288.8778076,498.6807251,1081.35144,4017.16333,245.2578125,137.1932983,436.7329102
09-08-2017,302.2000122,608.7924805,787.2810669,284.9588318,488.0439453,1067.681885,3963.713867,243.9161682,138.5321655,438.9288025
10-08-2017,296.5499878,599.5951538,779.9935303,282.8523254,486.2961121,1070.914795,3879.425049,244.2739105,136.9840851,444.8373413
11-08-2017,280.6499939,597.4310913,761.5283203,281.284729,489.3423462,1059.041748,3895.539063,242.8875427,134.0552826,447.214325
14-08-2017,278.0499878,620.055481,774.6262817,285.8895264,490.6407166,1071.942993,3936.592773,242.5297699,135.3523407,443.4563904
16-08-2017,282.8999939,615.8256836,771.5733032,288.2409363,498.4809875,1067.31543,3907.934326,249.8195038,134.7247314,442.2565918
17-08-2017,280.75,610.809021,771.130249,287.7510986,496.1838379,1059.275269,3903.621094,249.9536743,134.3063354,462.3365173
18-08-2017,278.6499939,614.6945801,775.7341919,287.1142273,490.0914307,1057.358765,3973.878174,252.0556335,134.5155182,417.9433594
21-08-2017,274.6499939,604.6119385,771.0070801,287.0652466,493.5371094,1053.151733,3976.654541,252.3686829,131.8377686,395.4863892
22-08-2017,274.1000061,605.447998,769.8007202,287.506134,498.5309143,1046.374023,3941.699707,253.1736908,133.3021545,397.1389465
23-08-2017,278.75,598.1196899,778.6393433,292.3068542,502.3761597,1051.188477,3930.692871,252.4581451,133.5532227,404.9943848
24-08-2017,280.4500122,597.4310913,771.7949219,291.8659973,504.9729309,1057.639282,3905.406006,251.7872772,133.3440094,413.1440735
28-08-2017,279.2999878,602.4970093,771.0070801,294.168396,510.1165466,1066.380615,3954.73999,252.4581451,134.3900146,426.1156921
29-08-2017,276.7000122,591.8734131,754.2407227,292.4537964,503.0253296,1056.610962,3900.497314,250.7139893,131.5867157,419.9580994
30-08-2017,276.8999939,601.0706787,770.1946411,294.2663879,504.0740662,1065.679443,3973.977539,252.5923157,132.7164154,419.5506287
31-08-2017,277.3500061,606.5300293,784.6466675,291.6210327,500.0290527,1062.033203,3965.003174,252.4134064,131.377533,414.4118042
01-09-2017,277.7000122,603.0380249,792.4512939,292.1599121,507.0203857,1065.492188,3976.902832,253.6656342,133.804245,416.5850525
04-09-2017,277.7999878,603.0871582,793.4361572,291.1311646,501.7269592,1056.377075,3954.442383,252.7711945,135.2268066,408.0731506
05-09-2017,277.2999878,629.2036133,804.0966187,291.7680054,501.87677,1055.489136,4065.356689,252.5923157,136.2728271,407.9825745
06-09-2017,274.2000122,629.9905396,809.8085938,289.2696533,492.8879395,1045.158569,4118.656738,246.4652863,135.7707062,405.5377197
07-09-2017,274.5,626.9904175,806.4602661,286.7713623,495.8842163,1053.151733,4079.091064,241.8141785,135.9799347,405.4697571
08-09-2017,271.9500122,621.7768555,804.7368164,286.0854797,492.6382446,1095.969849,4092.230225,243.6925354,135.4778137,400.4214783
